key,en,de,ro
expertise_pair1_text,"Native translations in 99% of projects, ensuring cultural and technical nuance.","Muttersprachliche Übersetzungen in 99% der Projekte, die kulturelle und technische Nuancen gewährleisten.","Traduceri native în 99% din proiecte, asigurând nuanțe culturale și tehnice."
expertise_pair2_heading,German to English,Deutsch ins Englische,Germană în engleză
expertise_pair2_text,Specialized in-house translations with expert native-level proofreading.,Spezialisierte Inhouse-Übersetzungen mit fachkundiger muttersprachlicher Korrektur.,Traduceri specializate in-house cu corectură expertă la nivel nativ.
services_subtitle,Services,Dienstleistungen,Servicii
services_title,High-Precision Translation,Hochpräzise Übersetzung,Traduceri de înaltă precizie
services_description,"Professional linguistic solutions tailored for technical industries. We only accept projects when we know we are qualified for the task and we can meet the deadline.","Professionelle linguistische Lösungen für technische Branchen. Wir akzeptieren Projekte nur, wenn wir wissen, dass wir qualifiziert sind und die Frist einhalten können.","Soluții lingvistice profesionale adaptate pentru industriile tehnice. Acceptăm proiecte doar atunci când știm că suntem calificați pentru sarcină și putem respecta termenul limită."
service_trans_title,Translation,Übersetzung,Traducere
service_trans_desc,"Websites, brochures, technical manuals, and specifications. Specialized in German and English to Romanian.","Websites, Broschüren, technische Handbücher und Spezifikationen. Spezialisiert auf Deutsch und Englisch ins Rumänische.","Site-uri web, broșuri, manuale tehnice și specificații. Specializat în germană și engleză în română."
service_rev_title,Revision,Revision,Revizie
service_rev_desc,Meticulous comparison against source texts to ensure perfect accuracy and technical consistency.,Sorgfältiger Vergleich mit den Quelltexten zur Gewährleistung absoluter Genauigkeit und technischer Konsistenz.,Comparare meticuloasă cu textele sursă pentru a asigura acuratețea perfectă și consistența tehnică.
service_proof_title,Proofreading,Korrekturlesen,Corectură
service_proof_desc,Ensuring natural flow and adherence to current Romanian linguistic standards for polished results.,Gewährleistung eines natürlichen Leseflusses und Einhaltung aktueller rumänischer Sprachstandards für polierte Ergebnisse.,Asigurarea fluxului natural și respectarea standardelor lingvistice românești actuale pentru rezultate impecabile.
service_testing_title,Language Testing,Sprachtests,Testare lingvistică
service_testing_desc,Professional evaluation of staff linguistic capabilities for English and Romanian proficiency.,Professionelle Bewertung der sprachlichen Fähigkeiten des Personals für Englisch- und Rumänischkenntnisse.,Evaluarea profesională a capacităților lingvistice ale personalului pentru competența în engleză și română.
service_audit_title,Auditing,Auditierung,Auditare
service_audit_desc,Certified auditing services through the IN-CLASS project to optimize organizational language workflow.,Zertifizierte Auditing-Dienstleistungen durch das IN-CLASS-Projekt zur Optimierung des betrieblichen Sprach-Workflows.,Servicii de auditare certificate prin proiectul IN-CLASS pentru optimizarea fluxului de lucru lingvistic organizațional.
process_subtitle,Workflow,Arbeitsablauf,Flux de lucru
process_title,"A clear, reliable process","Ein klarer, zuverlässiger Prozess","Un proces clar și de încredere"
process_description,"From intake to delivery, you always know the next step and the expected outcome.","Von der Aufnahme bis zur Lieferung kennen Sie immer den nächsten Schritt und das erwartete Ergebnis.","De la preluare până la livrare, veți cunoaște întotdeauna pasul următor și rezultatul așteptat."
process_step1_title,Intake & Scope,Aufnahme & Umfang,Preluare și analiză
process_step1_desc,"Gather requirements, glossary references, deadlines, and preferred style.","Sammeln von Anforderungen, Glossarreferenzen, Fristen und bevorzugtem Stil.","Colectarea cerințelor, referințelor de glosar, termenelor limită și a stilului preferat."
process_step2_title,Translate & Review,Übersetzen & Prüfen,Traducere și revizie
process_step2_desc,"Specialized translation with terminology control, then a full revision pass.","Fachübersetzung mit Terminoligie-kontrolle, gefolgt von einem vollständigen Revisionsdurchgang.","Traducere specializată cu control terminologic, urmată de o etapă completă de revizie."
process_step3_title,QA & Delivery,QS & Lieferung,Controlul calității și livrare
process_step3_desc,"Final QA (format, numbers, consistency) and on-time delivery with a short handover.","Abschließende Qualitätssicherung (Format, Zahlen, Konsistenz) und pünktliche Lieferung mit einer kurzen Übergabe.","Controlul final al calității (format, numere, consistență) și livrarea la timp cu o scurtă prezentare."
exp_subtitle,Experience,Erfahrung,Experiență
exp_title,Industry Expertise,Branchenexpertise,Expertiză în domeniu
industry_automotive,Automotive,Automobilbau,Auto
industry_automotive_desc,"Precision technical documentation for vehicle systems, powertrains, and cutting-edge e-mobility solutions.","Präzise technische Dokumentation für Fahrzeugsysteme, Antriebsstränge und modernste E-Mobilitätslösungen.","Documentație tehnică de precizie pentru sistemele vehiculelor, grupuri motopropulsoare și soluții de ultimă generație de mobilitate electrică."
industry_industrial,Industrial,Industrie,Industrial
industry_industrial_desc,"Specialized translation for complex industrial machinery, automation systems, and plant safety protocols.","Fachübersetzungen für komplexe Industriemaschinen, Automatisierungssysteme und Anlagensicherheitsprotokolle.","Traduceri specializate pentru mașini industriale complexe, sisteme de automatizare și protocoale de siguranță a instalațiilor."
industry_engineering,Engineering,Ingenieurwesen,Inginerie
industry_engineering_desc,"Expert-level Romanian versions of technical specifications, CAD documentation, and engineering standards.","Fachmännische rumänische Versionen von technischen Spezifikationen, CAD-Dokumentation und Ingenieurstandards.","Versiuni în limba română la nivel de expert pentru specificații tehnice, documentație CAD și standarde de inginerie."
industry_manufacturing,Manufacturing,Fertigung,Producție
industry_manufacturing_desc,"Comprehensive manuals for production lines, manufacturing processes, and quality assurance workflows.","Umfassende Handbücher für Produktionslinien, Fertigungsprozesse und Qualitätssicherungsworkflows.","Manuale cuprinzătoare pentru linii de producție, procese de fabricație și fluxuri de lucru de asigurare a calității."
industry_business,Business,Geschäftswesen,Afaceri
industry_business_desc,"Professional corporate communications, business contracts, and strategic organizational documentation.","Professionelle Unternehmenskommunikation, Geschäftsverträge und strategische Organisationsdokumentation.","Comunicări corporative profesionale, contracte de afaceri și documentație organizațională strategică."
industry_documentation,Documentation,Dokumentation,Documentație
industry_documentation_desc,"Rigorous localized documentation including user guides, software UI, and regulatory compliance files.","Strenge lokalisierte Dokumentation einschließlich Benutzerhandbüchern, Software-UI und Compliance-Dateien.","Documentație localizată riguroasă, inclusiv ghiduri de utilizare, interfață software și fișiere de conformitate reglementară."
industry_it,IT & Software,IT & Software,IT și Software
industry_it_desc,"Software localization, UI/UX translation, technical whitepapers, and cloud infrastructure documentation.","Softwarelokalisierung, UI/UX-Übersetzung, technische Whitepaper und Dokumentation von Cloud-Infrastrukturen.","Localizarea software-ului, traducerea UI/UX, cărți albe tehnice și documentația infrastructurii cloud."
industry_energy,Energy,Energie,Energie
industry_energy_desc,"Technical content for renewable energy systems, power plants, and environmental sustainability standards.","Technische Inhalte für erneuerbare Energiesysteme, Kraftwerke und Standards für ökologische Nachhaltigkeit.","Conținut tehnic pentru sisteme de energie regenerabilă, centrale electrice și standarde de sustenabilitate a mediului."
industry_logistics,Logistics,Logistik,Logistică
industry_logistics_desc,"Global supply chain documentation, warehouse management systems, and international shipping protocols.","Globale Lieferkettendokumentation, Lagerverwaltungssysteme und internationale Versandprotokolle.","Documentația lanțului de aprovizionare global, sisteme de gestionare a depozitelor și protocoale de expediere internațională."
recog_title,Recognition,Anerkennung,Recunoaștere
testimonial1_text,"""Monica delivered high-quality technical translations for our automotive projects. Her attention to detail is outstanding.""","""Monica lieferte qualitativ hochwertige technische Übersetzungen für unsere Automobilprojekte. Ihre Liebe zum Detail ist hervorragend.""","""Monica a oferit traduceri tehnice de înaltă calitate pentru proiectele noastre auto. Atenția ei la detalii este remarcabilă."""
testimonial1_author,Senior Project Manager,Leitender Projektmanager,Senior Project Manager
testimonial1_company,Automotive Industry,Automobilindustrie,Industria Auto
testimonial2_text,"""The technical accuracy and Romanian linguistic flow were exactly what we needed for our user manuals.""","""Die technische Genauigkeit und der rumänische Sprachfluss waren genau das, was wir für unsere Benutzerhandbücher brauchten.""","""Acuratețea tehnică și fluxul lingvistic în română au fost exact ceea ce am avut nevoie pentru manualele noastre de utilizare."""
testimonial2_author,Technical Director,Technischer Leiter,Director Tehnic
testimonial2_company,Engineering Firm,Ingenieurbüro,Firmă de Inginerie
cta_eyebrow,Ready to start?,Bereit anzufangen?,Ești gata să începem?
cta_title,Let’s deliver your next project with zero surprises.,Lassen Sie uns Ihr nächstes Projekt ohne Überraschungen liefern.,Hai să ducem la bun sfârșit următorul tău proiect fără surprize.
cta_action_call,Book a call,Telefontermin buchen,Programează un apel
cta_action_email,Email Monica,E-Mail an Monica,E-mail către Monica
contact_subtitle,Get In Touch,Kontakt aufnehmen,Contactează-mă
contact_title,I AM ACCEPTING NEW PROJECTS,ICH NEHME NEUE PROJEKTE AN,ACCEPT PROIECTE NOI
contact_description,References and free of charge translation tests are available upon request.,Referenzen und kostenlose Probeübersetzungen sind auf Anfrage erhältlich.,Referințe și teste de traducere gratuite sunt disponibile la cerere.
form_label_name,Name *,Name *,Nume *
form_placeholder_name,Your name,Ihr Name,Numele tău
form_label_email,Email *,E-Mail *,Email *
form_placeholder_email,Your email address,Ihre E-Mail-Adresse,Adresa ta de email
form_label_service,Service Needed,Benötigte Dienstleistung,Serviciul dorit
form_option_select,Select a service,Dienstleistung auswählen,Selectează un serviciu
form_option_translation,Translation,Übersetzung,Traducere
form_option_revision,Revision,Revision,Revizie
form_option_proofreading,Proofreading,Korrekturlesen,Corectură
form_option_testing,Language Testing,Sprachtests,Testare lingvistică
form_option_auditing,Auditing,Auditierung,Auditare
form_option_other,Other,Sonstiges,Altele
form_label_message,Message *,Nachricht *,Mesaj *
form_placeholder_message,How can I help you?,Wie kann ich Ihnen helfen?,Cum te pot ajuta?
form_button_send,Send Message,Nachricht senden,Trimite mesajul
info_address_title,Mailing Address,Postanschrift,Adresă poștală
info_address_text,"Str. Radu Vodă nr. 6, bl. 777, sc. A, ap.14<br>700665, Iaşi, România","Str. Radu Vodă nr. 6, bl. 777, sc. A, ap.14<br>700665, Iaşi, România","Str. Radu Vodă nr. 6, bl. 777, sc. A, ap.14<br>700665, Iaşi, România"
info_phone_title,Phone,Telefon,Telefon
info_email_title,Email,E-Mail,Email
info_hours_title,Working Hours,Arbeitszeiten,Program de lucru
info_hours_text,Mon - Fri: 09:00 - 18:00 (Bucharest),Mo - Fr: 09:00 - 18:00 (Bukarest),Lu - Vi: 09:00 - 18:00 (București)
social_title,Keep Updated,Bleiben Sie informiert,Fii la curent
footer_tagline,Technical translations from German and English into Romanian,Technische Übersetzungen aus dem Deutschen und Englischen ins Rumänische,Traduceri tehnice din germană și engleză în română
footer_links_title,Quick Links,Quick-Links,Link-uri rapide
footer_legal_title,Legal,Rechtliches,Legal
footer_legal_privacy,Privacy Policy,Datenschutzerklärung,Politica de confidențialitate
footer_legal_terms,Terms of Service,Nutzungsbedingungen,Termeni și condiții
footer_copyright,"&copy; 2025 Linguistic Guide - Monica Vlad. All rights reserved.","&copy; 2025 Linguistic Guide - Monica Vlad. Alle Rechte vorbehalten.","&copy; 2025 Linguistic Guide - Monica Vlad. Toate drepturile rezervate."
back_to_top,Back to top,Nach oben,Înapoi sus
